cue,tag
a,DET
anda,AUX
ante,DET
aquel,DET
aquella,DET
aquello,PRON
aquellos,DET
aunque,SCONJ
bajo,DET
cabe,DET
cada,DET
cierto,DET
como,SCONJ
con,DET
contra,DET
cual,PRON
cualquier,DET
cualquiera,DET
cuando,SCONJ
cuándo,PRON
cómo,PRON
de,DET
debe,AUX
demás,PRON
desde,DET
donde,PRON
durante,DET
ella,PRON
ellas,PRON
ello,PRON
ellos,PRON
en,DET
entre,DET
era,AUX
eres,AUX
esa,DET
ese,DET
eso,PRON
esos,DET
esta,DET
estamos,AUX
estas,DET
este,DET
esto,PRON
estoy,AUX
está,AUX
fue,AUX
fui,AUX
hacia,DET
hasta,DET
las,DET
los,DET
mediante,DET
mientras,SCONJ
mío,PRON
nos,PRON
nosotros,PRON
nuestra,DET
nuestro,DET
nuestros,DET
para,DET
pero,CCONJ
por,DET
porque,SCONJ
puede,AUX
que,PRON
querer,AUX
quién,PRON
según,DET
sin,DET
so,DET
sobre,DET
somos,AUX
son,AUX
sos,AUX
suyo,DET
tal,DET
tras,DET
versus,DET
vía,DET
