cue,answer,n,freq
realidad,ficcion,10,0.1724137931034483
realidad,virtual,7,0.1206896551724138
realidad,mentira,5,0.08620689655172414
realidad,alterada,3,0.05172413793103448
realidad,presente,2,0.034482758620689655
realidad,aumentada,2,0.034482758620689655
realidad,imaginacion,2,0.034482758620689655
realidad,falsa,2,0.034482758620689655
realidad,verdad,2,0.034482758620689655
realidad,falso,2,0.034482758620689655
realidad,primavera,1,0.017241379310344827
realidad,frontal,1,0.017241379310344827
realidad,cuadrado,1,0.017241379310344827
realidad,alternativa,1,0.017241379310344827
realidad,telar,1,0.017241379310344827
realidad,paralela,1,0.017241379310344827
realidad,farsa,1,0.017241379310344827
realidad,digna,1,0.017241379310344827
realidad,vida,1,0.017241379310344827
realidad,distorcionada,1,0.017241379310344827
realidad,real,1,0.017241379310344827
realidad,interpretacion,1,0.017241379310344827
realidad,caida,1,0.017241379310344827
realidad,oscura,1,0.017241379310344827
realidad,fantasia,1,0.017241379310344827
realidad,escandalosa,1,0.017241379310344827
realidad,fuerte,1,0.017241379310344827
realidad,cruel,1,0.017241379310344827
realidad,distorsion,1,0.017241379310344827
realidad,ilusion,1,0.017241379310344827
realidad,hoy,1,0.017241379310344827
familia,unida,6,0.10344827586206896
familia,amor,5,0.08620689655172414
familia,amigos,4,0.06896551724137931
familia,grande,4,0.06896551724137931
familia,hogar,3,0.05172413793103448
familia,numerosa,3,0.05172413793103448
familia,padres,3,0.05172413793103448
familia,mama,2,0.034482758620689655
familia,pareja,2,0.034482758620689655
familia,hermanos,2,0.034482758620689655
familia,madre,2,0.034482758620689655
familia,matrimonio,1,0.017241379310344827
familia,partida,1,0.017241379310344827
familia,guanacos,1,0.017241379310344827
familia,vinculo,1,0.017241379310344827
familia,nueva,1,0.017241379310344827
familia,hijos,1,0.017241379310344827
familia,unidos,1,0.017241379310344827
familia,graciosa,1,0.017241379310344827
familia,pariente,1,0.017241379310344827
familia,auto,1,0.017241379310344827
familia,casa,1,0.017241379310344827
familia,incompleta,1,0.017241379310344827
familia,abrazo,1,0.017241379310344827
familia,hermano,1,0.017241379310344827
familia,nucleo,1,0.017241379310344827
familia,rota,1,0.017241379310344827
familia,añor,1,0.017241379310344827
familia,persona,1,0.017241379310344827
familia,mentira,1,0.017241379310344827
familia,nuclear,1,0.017241379310344827
familia,poderosa,1,0.017241379310344827
familia,union,1,0.017241379310344827
miedo,susto,6,0.10344827586206896
miedo,terror,6,0.10344827586206896
miedo,temor,4,0.06896551724137931
miedo,oscuro,3,0.05172413793103448
miedo,muerte,3,0.05172413793103448
miedo,oscuridad,3,0.05172413793103448
miedo,panico,2,0.034482758620689655
miedo,fantasma,2,0.034482758620689655
miedo,realidad,1,0.017241379310344827
miedo,dificultad,1,0.017241379310344827
miedo,espanto,1,0.017241379310344827
miedo,terrible,1,0.017241379310344827
miedo,profundo,1,0.017241379310344827
miedo,negro,1,0.017241379310344827
miedo,fear,1,0.017241379310344827
miedo,pinchazos,1,0.017241379310344827
miedo,visceral,1,0.017241379310344827
miedo,horror,1,0.017241379310344827
miedo,sentimiento,1,0.017241379310344827
miedo,confusión,1,0.017241379310344827
miedo,colmillo,1,0.017241379310344827
miedo,tristeza,1,0.017241379310344827
miedo,morir,1,0.017241379310344827
miedo,terrror,1,0.017241379310344827
miedo,ajeno,1,0.017241379310344827
miedo,pavor,1,0.017241379310344827
miedo,ansiedad,1,0.017241379310344827
miedo,funebre,1,0.017241379310344827
miedo,dolor,1,0.017241379310344827
miedo,asustado,1,0.017241379310344827
miedo,tengo,1,0.017241379310344827
miedo,valor,1,0.017241379310344827
miedo,inminente,1,0.017241379310344827
miedo,feroz,1,0.017241379310344827
miedo,letal,1,0.017241379310344827
miedo,luz,1,0.017241379310344827
miedo,desconocido,1,0.017241379310344827
trabajo,duro,4,0.06896551724137931
trabajo,esfuerzo,4,0.06896551724137931
trabajo,arduo,3,0.05172413793103448
trabajo,dinero,3,0.05172413793103448
trabajo,digno,3,0.05172413793103448
trabajo,plata,3,0.05172413793103448
trabajo,oficina,3,0.05172413793103448
trabajo,aburrido,2,0.034482758620689655
trabajo,empleo,2,0.034482758620689655
trabajo,mucho,2,0.034482758620689655
trabajo,maletin,2,0.034482758620689655
trabajo,estudio,1,0.017241379310344827
trabajo,tejer,1,0.017241379310344827
trabajo,escritorio,1,0.017241379310344827
trabajo,forzoso,1,0.017241379310344827
trabajo,actual,1,0.017241379310344827
trabajo,descanso,1,0.017241379310344827
trabajo,elegante,1,0.017241379310344827
trabajo,suerte,1,0.017241379310344827
trabajo,empleado,1,0.017241379310344827
trabajo,justicia,1,0.017241379310344827
trabajo,rojo,1,0.017241379310344827
trabajo,competencia,1,0.017241379310344827
trabajo,ley,1,0.017241379310344827
trabajo,arriba,1,0.017241379310344827
trabajo,imbecil,1,0.017241379310344827
trabajo,tiempo,1,0.017241379310344827
trabajo,horario,1,0.017241379310344827
trabajo,oficio,1,0.017241379310344827
trabajo,obligacion,1,0.017241379310344827
trabajo,navio,1,0.017241379310344827
