word,log_cnt
abajo,5.025302
abandona,3.547036
abandonado,3.977037
abandonar,4.080302
abandono,3.439017
abanicar,1.568202
abanico,2.850033
abarca,2.730782
abarcar,2.342423
abastecer,2.498311
abatido,3.076276
abdomen,3.243038
abdominales,3.066699
abecedario,2.269513
abedul,2.225309
abeja,3.467904
abejas,3.579898
abejorro,2.586587
aberración,2.704151
aberrante,2.283301
abertura,2.977266
abeto,2.447158
abierta,4.293009
abiertas,3.579097
abierto,4.330231
abismo,3.482302
abogacía,2.758912
abogado,4.704597
abogados,4.092896
abogar,1.939519
abolengo,1.491362
abombado,1.431364
abominable,2.943989
abonar,1.832509
abono,2.979093
abordar,3.339849
aborigen,2.380211
aborígenes,2.558709
aborrecer,1.732394
aborto,3.500374
abra,4.151217
abrasador,2.488551
abrazar,3.252125
abrazo,3.872739
abrazos,3.190612
abre,4.651956
abrelatas,2.58995
abrigado,2.542825
abrigar,2.075547
abrigo,4.201752
abrigos,3.30771
abril,3.863085
abrir,4.48752
abrirse,3.544936
abrumado,2.923244
abrumador,2.844477
abrupto,2.269513
absoluta,3.575303
absoluto,4.382881
absorbente,2.31597
absorber,2.926857
absorto,2.515874
abstracción,2.123852
abstracto,2.795185
absurdo,3.956168
abuela,4.603426
abuelas,2.752816
abuelo,4.569924
abuelos,3.481729
abulia,1.0
abultado,2.152288
abundancia,3.205204
abundante,2.989895
aburre,3.242293
aburrida,3.785757
aburridas,3.144574
aburrido,4.166549
aburridos,3.295567
aburrimiento,3.360593
aburrir,2.567026
abusado,2.87564
abusador,2.749736
abusar,3.135451
abusivo,2.705864
abuso,3.611405
abusos,3.12156
acá,4.803491
acaba,4.818199
acabada,3.312389
acabado,4.473531
acabar,4.452507
acabo,4.768379
academia,3.855277
académico,3.120903
acallar,2.342423
acalorado,2.399674
acampar,3.296007
acantilado,3.244277
acaparar,2.356026
acariciar,2.822168
acarrear,2.403121
acaso,4.50173
acatamiento,1.748188
acatar,2.628389
acceder,3.65485
accesibilidad,1.462398
accesible,2.923244
acceso,4.279941
accesorio,2.770852
accesorios,3.123198
accidente,4.711098
accidentes,3.689664
acción,4.495392
accionar,2.460898
acciones,4.224921
acechar,2.499687
acecho,2.952308
aceite,3.982316
aceitoso,2.212188
aceituna,2.528917
aceitunas,3.068186
aceleración,2.921686
acelerado,3.09482
acelerar,3.303628
acelga,1.491362
acento,3.782902
acentuar,2.136721
aceptable,3.441066
aceptación,3.117934
aceptado,3.858537
aceptar,4.326848
aceptarse,2.178977
acepto,4.103325
acera,3.48643
acerca,4.870936
acercamiento,3.224274
acercar,3.18949
acercarse,3.961801
acero,3.986682
acertada,2.835691
acertado,3.256718
acertar,2.879096
acertijo,3.198657
achicado,1.361728
achicar,2.173186
achique,1.544068
acicalar,1.255273
ácida,2.501059
acidez,2.739572
ácido,3.688776
acierto,2.878522
aciertos,2.235528
aclaración,2.41162
aclarado,3.058046
aclarar,3.76723
acné,2.733197
acogedor,3.182415
acoger,2.506505
acolchado,2.285557
acometer,1.662758
acomodado,2.447158
acomodar,2.826075
acomodarse,2.514548
acomodo,2.133539
acompaña,3.596707
acompañado,3.325721
acompañamiento,2.558709
acompañante,3.444825
acompañar,3.385428
acondicionado,3.511349
acondicionar,1.819544
acongojado,1.959041
aconsejar,2.70757
acontecido,2.330414
acontecimiento,3.313234
acontecimientos,3.443576
acopiar,0.954243
acopio,2.093422
acoplar,2.178977
acordado,3.503655
acordar,3.304275
acordarse,3.07664
acorde,3.162863
acordeón,2.730782
acordes,2.825426
acorralado,2.828015
acorralar,2.227887
acortar,2.730782
acosador,3.087071
acosar,2.768638
acoso,3.404492
acostado,3.738305
acostarse,3.928959
acotado,1.623249
acotar,2.004321
acre,2.689309
acreedor,2.170262
acta,3.394977
actitud,4.082211
actitudes,2.818226
activa,3.60021
activar,3.398808
actividad,3.967969
actividades,3.76723
activo,3.654465
activos,3.342423
acto,4.2801
actor,4.137639
actores,3.907143
actos,3.851014
actriz,3.95318
actuación,3.967875
actual,3.959041
actualidad,3.234517
actualización,3.011147
actualizar,2.760422
actuar,4.304749
acuarela,2.0086
acuario,3.242044
acuático,2.950851
acudir,3.392521
acuerdo,5.547221
acuerdos,3.131298
acumulación,2.722634
acumular,2.699838
acuoso,1.612784
acurrucarse,2.320146
acusación,3.747489
acusado,4.058957
acusar,3.34262
acuse,2.686636
adaptable,2.227887
adaptación,2.988559
adaptar,2.680336
adaptarse,3.461499
adecuada,3.751356
adecuado,3.977724
adecuar,1.579784
adelantado,3.661339
adelantar,3.010724
adelantarse,2.812245
adelante,5.112649
adelanto,3.382737
adelgazar,2.661813
además,4.887932
adentro,4.660695
aderezo,2.666518
adherido,2.294466
adherir,1.544068
adhesiva,3.053078
adhesivo,2.478566
adicción,3.376394
adicciones,2.4133
adición,2.650308
adicional,3.355068
adicionar,1.230449
adictivo,2.498311
adicto,3.668199
adinerado,2.674861
adinerados,2.298853
adiós,5.20197
adivinanza,2.766413
adivinar,3.948217
adivino,3.301681
adjetivo,2.50515
adjetivos,2.390935
adjuntar,1.799341
adjunto,3.264346
administración,3.804139
administrar,2.996512
administrativo,2.936514
admirable,3.429914
admiración,3.28713
admirado,2.994757
admirar,3.118926
admitir,3.998216
adn,4.15797
adobe,2.181844
adoctrinamiento,2.037426
adolescencia,3.01494
adolescente,3.830204
